iter	Passed	Remaining
819	920	202
820	921	200
821	923	199
822	924	198
823	925	197
824	927	196
825	928	195
826	929	194
827	930	193
828	931	192
829	932	190
830	933	189
831	934	188
832	935	187
833	936	186
834	938	185
835	939	184
836	940	183
837	941	181
838	942	180
839	943	179
840	944	178
841	945	177
842	946	176
843	947	175
844	948	174
845	949	172
846	950	171
847	951	170
848	952	169
849	953	168
850	954	167
851	955	166
852	957	164
853	958	163
854	959	162
855	960	161
856	961	160
857	962	159
858	963	158
859	964	157
860	965	155
861	966	154
862	967	153
863	968	152
864	969	151
865	970	150
866	971	149
867	972	147
868	973	146
869	974	145
870	975	144
871	976	143
872	978	142
873	979	141
874	980	140
875	981	138
876	982	137
877	983	136
878	984	135
879	985	134
880	986	133
881	987	132
882	988	130
883	989	129
884	990	128
885	991	127
886	992	126
887	993	125
888	994	124
889	995	123
890	996	121
891	997	120
892	998	119
893	999	118
894	1000	117
895	1001	116
896	1002	115
897	1003	114
898	1005	112
899	1006	111
900	1007	110
901	1008	109
902	1009	108
903	1010	107
904	1011	106
905	1012	105
906	1013	103
907	1014	102
908	1015	101
909	1016	100
910	1017	99
911	1018	98
912	1019	97
913	1020	96
914	1021	94
915	1022	93
916	1023	92
917	1024	91
918	1026	90
919	1027	89
920	1028	88
921	1029	87
922	1030	85
923	1030	84
924	1032	83
925	1033	82
926	1034	81
927	1035	80
928	1036	79
929	1036	78
930	1037	76
931	1038	75
932	1040	74
933	1041	73
934	1042	72
935	1043	71
936	1045	70
937	1046	69
938	1047	68
939	1048	66
940	1049	65
941	1050	64
942	1051	63
943	1052	62
944	1053	61
945	1054	60
946	1055	59
947	1057	57
948	1058	56
949	1059	55
950	1061	54
951	1062	53
952	1063	52
953	1064	51
954	1065	50
955	1067	49
956	1068	48
957	1069	46
958	1071	45
959	1072	44
960	1074	43
961	1075	42
962	1076	41
963	1077	40
964	1078	39
965	1079	38
966	1080	36
967	1081	35
968	1083	34
969	1084	33
970	1085	32
971	1087	31
972	1088	30
973	1089	29
974	1090	27
975	1091	26
976	1092	25
977	1093	24
978	1094	23
979	1095	22
980	1096	21
981	1097	20
982	1098	18
983	1099	17
984	1100	16
985	1100	15
986	1101	14
987	1103	13
988	1104	12
989	1105	11
990	1106	10
991	1107	8
992	1108	7
993	1108	6
994	1109	5
995	1110	4
996	1111	3
997	1112	2
998	1113	1
999	1114	0
