iter	Passed	Remaining
789	1150	305
790	1151	304
791	1153	302
792	1154	301
793	1156	299
794	1157	298
795	1159	297
796	1161	295
797	1163	294
798	1167	293
799	1168	292
800	1169	290
801	1170	289
802	1173	287
803	1174	286
804	1175	284
805	1176	283
806	1177	281
807	1178	280
808	1179	278
809	1181	277
810	1183	275
811	1184	274
812	1185	272
813	1186	271
814	1188	269
815	1189	268
816	1191	266
817	1192	265
818	1193	263
819	1194	262
820	1195	260
821	1197	259
822	1198	257
823	1198	256
824	1200	254
825	1201	253
826	1202	251
827	1203	249
828	1204	248
829	1205	246
830	1206	245
831	1207	243
832	1208	242
833	1209	240
834	1210	239
835	1212	237
836	1213	236
837	1214	234
838	1215	233
839	1216	231
840	1217	230
841	1218	228
842	1219	227
843	1221	225
844	1222	224
845	1223	222
846	1224	221
847	1225	219
848	1226	218
849	1227	216
850	1228	215
851	1229	213
852	1231	212
853	1232	210
854	1233	209
855	1234	207
856	1235	206
857	1236	204
858	1237	203
859	1238	201
860	1239	200
861	1240	198
862	1241	197
863	1242	195
864	1243	194
865	1244	192
866	1245	191
867	1246	189
868	1248	188
869	1249	186
870	1250	185
871	1251	183
872	1252	182
873	1255	180
874	1256	179
875	1257	178
876	1258	176
877	1259	175
878	1261	173
879	1262	172
880	1263	170
881	1264	169
882	1265	167
883	1266	166
884	1266	164
885	1268	163
886	1269	161
887	1270	160
888	1271	158
889	1272	157
890	1273	155
891	1274	154
892	1275	152
893	1277	151
894	1278	150
895	1279	148
896	1280	147
897	1281	145
898	1283	144
899	1285	142
900	1286	141
901	1287	139
902	1287	138
903	1289	136
904	1290	135
905	1291	134
906	1292	132
907	1293	131
908	1294	129
909	1295	128
910	1296	126
911	1297	125
912	1298	123
913	1299	122
914	1300	120
915	1302	119
916	1303	117
917	1304	116
918	1305	115
919	1307	113
920	1308	112
921	1309	110
922	1310	109
923	1311	107
924	1312	106
925	1313	104
926	1314	103
927	1315	102
928	1316	100
929	1317	99
930	1318	97
931	1319	96
932	1321	94
933	1322	93
934	1322	91
935	1323	90
936	1324	89
937	1325	87
938	1326	86
939	1327	84
940	1328	83
941	1329	81
942	1330	80
943	1331	79
944	1333	77
945	1334	76
946	1335	74
947	1336	73
948	1337	71
949	1339	70
950	1340	69
951	1342	67
952	1343	66
953	1344	64
954	1345	63
955	1346	61
956	1347	60
957	1348	59
958	1350	57
959	1351	56
960	1352	54
961	1353	53
962	1354	52
963	1355	50
964	1356	49
965	1357	47
966	1358	46
967	1359	44
968	1360	43
969	1361	42
970	1361	40
971	1362	39
972	1363	37
973	1365	36
974	1367	35
975	1368	33
976	1369	32
977	1370	30
978	1371	29
979	1372	28
980	1373	26
981	1374	25
982	1375	23
983	1376	22
984	1377	20
985	1378	19
986	1379	18
987	1380	16
988	1381	15
989	1382	13
990	1383	12
991	1384	11
992	1385	9
993	1386	8
994	1387	6
995	1388	5
996	1389	4
997	1390	2
998	1391	1
999	1391	0
